Date,Time,Type,Desc
2017-01-01,00:00:00,National,開國紀念日
2017-01-02,00:00:00,National,補假
2017-01-27,00:00:00,National,農曆除夕
2017-01-28,00:00:00,National,春節
2017-01-29,00:00:00,National,春節
2017-01-30,00:00:00,National,春節
2017-01-31,00:00:00,National,補假
2017-02-01,00:00:00,National,補假
2017-02-27,00:00:00,National,調整放假
2017-02-28,00:00:00,National,和平紀念日
2017-04-03,00:00:00,National,補假
2017-04-04,00:00:00,National,兒童節及民族掃墓節
2017-05-29,00:00:00,National,調整放假
2017-05-30,00:00:00,National,端午節
2017-07-30,00:00:00,Typhoon,尼莎
2017-10-04,00:00:00,National,中秋節
2017-10-09,00:00:00,National,調整放假
2017-10-10,00:00:00,National,國慶日
2018-01-01,00:00:00,National,開國紀念日
2018-02-15,00:00:00,National,農曆除夕
2018-02-16,00:00:00,National,春節
2018-02-17,00:00:00,National,春節
2018-02-18,00:00:00,National,春節
2018-02-19,00:00:00,National,補假
2018-02-20,00:00:00,National,補假
2018-02-28,00:00:00,National,和平紀念日
2018-04-04,00:00:00,National,兒童節
2018-04-05,00:00:00,National,民族掃墓節
2018-04-06,00:00:00,National,調整放假
2018-06-18,00:00:00,National,端午節
2018-09-24,00:00:00,National,中秋節
2018-10-10,00:00:00,National,國慶日
2018-12-31,00:00:00,National,調整放假
2019-01-01,00:00:00,National,開國紀念日
2019-02-04,00:00:00,National,農曆除夕
2019-02-05,00:00:00,National,春節
2019-02-06,00:00:00,National,春節
2019-02-07,00:00:00,National,春節
2019-02-08,00:00:00,National,調整放假
2019-02-28,00:00:00,National,和平紀念日
2019-03-01,00:00:00,National,調整放假
2019-04-04,00:00:00,National,兒童節
2019-04-05,00:00:00,National,民族掃墓節
2019-06-07,00:00:00,National,端午節
2019-08-09,00:00:00,Typhoon,利奇馬
2019-09-13,00:00:00,National,中秋節
2019-09-30,00:00:00,Typhoon,米塔
2019-10-10,00:00:00,National,國慶日
2019-10-11,00:00:00,National,調整放假
2020-01-01,00:00:00,National,開國紀念日
2020-01-23,00:00:00,National,調整放假
2020-01-24,00:00:00,National,農曆除夕
2020-01-25,00:00:00,National,春節
2020-01-26,00:00:00,National,春節
2020-01-27,00:00:00,National,春節
2020-01-28,00:00:00,National,補假
2020-01-29,00:00:00,National,補假
2020-02-28,00:00:00,National,和平紀念日
2020-04-02,00:00:00,National,補假
2020-04-03,00:00:00,National,放假
2020-04-04,00:00:00,National,兒童節及民族掃墓節
2020-06-25,00:00:00,National,端午節
2020-06-26,00:00:00,National,調整放假
2020-10-01,00:00:00,National,中秋節
2020-10-02,00:00:00,National,調整放假
2020-10-09,00:00:00,National,補假
2020-10-10,00:00:00,National,國慶日
2021-01-01,00:00:00,National,開國紀念日
2021-02-10,00:00:00,National,調整放假
2021-02-11,00:00:00,National,農曆除夕
2021-02-12,00:00:00,National,春節
2021-02-13,00:00:00,National,春節
2021-02-14,00:00:00,National,春節
2021-02-15,00:00:00,National,補假
2021-02-16,00:00:00,National,補假
2021-02-28,00:00:00,National,和平紀念日
2021-03-01,00:00:00,National,補假
2021-04-02,00:00:00,National,補假
2021-04-04,00:00:00,National,兒童節及民族掃墓節
2021-04-05,00:00:00,National,補假
2021-06-14,00:00:00,National,端午節
2021-09-12,00:00:00,Typhoon,璨樹
2021-09-20,00:00:00,National,調整放假
2021-09-21,00:00:00,National,中秋節
2021-10-10,00:00:00,National,國慶日
2021-10-11,00:00:00,National,補假
2021-12-31,00:00:00,National,補假
2022-01-01,00:00:00,National,開國紀念日
2022-01-31,00:00:00,National,農曆除夕
2022-02-01,00:00:00,National,春節
2022-02-02,00:00:00,National,春節
2022-02-03,00:00:00,National,春節
2022-02-04,00:00:00,National,調整放假
2022-02-28,00:00:00,National,和平紀念日
2022-04-04,00:00:00,National,兒童節
2022-04-05,00:00:00,National,民族掃墓節
2022-06-03,00:00:00,National,端午節
2022-09-09,00:00:00,National,補假
2022-09-10,00:00:00,National,中秋節
2022-10-10,00:00:00,National,國慶日
2023-01-01,00:00:00,National,開國紀念日
2023-01-02,00:00:00,National,補假
2023-01-20,00:00:00,National,小年夜
2023-01-21,00:00:00,National,農曆除夕
2023-01-22,00:00:00,National,春節
2023-01-23,00:00:00,National,春節
2023-01-24,00:00:00,National,春節
2023-01-25,00:00:00,National,補假
2023-01-26,00:00:00,National,補假
2023-01-27,00:00:00,National,調整放假
2023-02-27,00:00:00,National,調整放假
2023-02-28,00:00:00,National,和平紀念日
2023-04-03,00:00:00,National,調整放假
2023-04-04,00:00:00,National,兒童節
2023-04-05,00:00:00,National,民族掃墓節
2023-06-22,00:00:00,National,端午節
2023-06-23,00:00:00,National,調整放假
2023-08-03,00:00:00,Typhoon,卡努
2023-09-29,00:00:00,National,中秋節
2023-10-09,00:00:00,National,調整放假
2023-10-10,00:00:00,National,國慶日
2024-01-01,00:00:00,National,開國紀念日
2024-02-06,00:00:00,Weekday,僅辦理結算交割作業
2024-02-07,00:00:00,Weekday,僅辦理結算交割作業
2024-02-08,00:00:00,National,小年夜
2024-02-09,00:00:00,National,農曆除夕
2024-02-10,00:00:00,National,春節
2024-02-11,00:00:00,National,春節
2024-02-12,00:00:00,National,春節
2024-02-13,00:00:00,National,補假
2024-02-14,00:00:00,National,補假
2024-02-28,00:00:00,National,和平紀念日
2024-04-04,00:00:00,National,兒童節及民族掃墓節
2024-04-05,00:00:00,National,補假
2024-06-10,00:00:00,National,端午節
2024-07-24,00:00:00,Typhoon,凱米
2024-07-25,00:00:00,Typhoon,凱米
2024-09-17,00:00:00,National,中秋節
2024-10-02,00:00:00,Typhoon,山陀兒
2024-10-03,00:00:00,Typhoon,山陀兒
2024-10-10,00:00:00,National,國慶日
2024-10-31,00:00:00,Typhoon,康芮
2025-01-01,00:00:00,National,開國紀念日
2025-01-27,00:00:00,National,小年夜
2025-01-28,00:00:00,National,農曆除夕
2025-01-29,00:00:00,National,春節
2025-01-30,00:00:00,National,春節
2025-01-31,00:00:00,National,春節
2025-02-28,00:00:00,National,和平紀念日
2025-04-03,00:00:00,National,補假
2025-04-04,00:00:00,National,兒童節及民族掃墓節
2025-05-30,00:00:00,National,補假
2025-05-31,00:00:00,National,端午節
2025-10-06,00:00:00,National,中秋節
2025-10-10,00:00:00,National,國慶日
